CRS,Tiploc,Description,Stannox
BYB,BLYBDGE,BLYTHE BRIDGE,43503
CLM,CLHM,COLLINGHAM,44077
ANC,ANCASTR,ANCASTER,44101
BSN,BOSTON,BOSTON,44212
BTF,BOTESFD,BOTTESFORD,44511
ELO,ELTON,ELTON & ORSTON,44514
ALK,ASLCKTN,ASLOCKTON,44517
BIW,BIGLSWD,BIGGLESWADE,45611
DOW,DOWNHAM,DOWNHAM MARKET,46255
BND,BNDON,BRANDON,46264
XYE,ELYYNJN,ELY NORTH JN,46272
ELY,ELYY,ELY,46273
BSE,BSTEDMS,BURY ST EDMUNDS,46301
ESW,ELMSWEL,ELMSWELL,46404
DUL,DULNGHM,DULLINGHAM,47006
CYH,CHRYHNT,CHERRY HINTON,47007
CMB,CAMBNTH,CAMBRIDGE NORTH,47214
XCA,CAMBTMD,CAMBRIDGE T.&R.S.M.D.,47215
CBG,CAMBDGE,CAMBRIDGE,47221
AUD,AUDLEYE,AUDLEY END,47321
ESM,ELSENHM,ELSENHAM,47335
BIS,BSHPSFD,BISHOPS STORTFORD,47412
CMR,CMER,CROMER,48007
ACL,ACLE,ACLE,48056
BYA,BRNYARM,BERNEY ARMS,48066
CNY,CNTLEY,CANTLEY,48211
BUC,BUCKNHM,BUCKENHAM,48213
BDA,BRUNDAL,BRUNDALL,48215
BGA,BRUNDLG,BRUNDALL GARDENS,48216
ATL,ATTLBON,ATTLEBOROUGH,48501
ECS,ECLR,ECCLES ROAD,48511
DIS,DISS,DISS,49002
BCC,BECCLES,BECCLES,49103
BRP,BRAMPTN,BRAMPTON (SUFFOLK),49105
DSM,DARSHAM,DARSHAM,49109
DBR,DERBYRD,DERBY ROAD,49145
DVC,DOVRCRT,DOVERCOURT,49415
CLT,CLACTON,CLACTON-ON-SEA,50021
XLC,CLACTCS,CLACTON C.S.D.,50022
ALR,ALRESFD,ALRESFORD (ESSEX),50027
HYH,CLCHHYT,HYTHE,50030
CET,CLCHRTN,COLCHESTER TOWN,50041
XLG,CLCHCSD,COLCHESTER C.S.D.,50048
COL,CLCHSTR,COLCHESTER,50049
XLP,CLCHSTY,COLCHESTER T.C.,50051
CWC,CHPWKSC,CHAPPEL & WAKES COLNE,50107
BUE,BURES,BURES,50109
BTR,BRAINTR,BRAINTREE,50204
BTP,BRAINFP,BRAINTREE FREEPORT,50205
CES,CRESING,CRESSING,50206
CHM,CHLMSFD,CHELMSFORD,50223
BUU,BRNMONC,BURNHAM-ON-CROUCH,50304
ALN,ALTHORN,ALTHORNE,50305
BLB,BTLSBDG,BATTLESBRIDGE,50309
BIC,BILERCY,BILLERICAY,50327
BRE,BRTWOOD,BRENTWOOD,50331
EMP,EMRSPKH,EMERSON PARK,50391
CTH,CHDWLHT,CHADWELL HEATH,50405
XAK,ALDBUCS,ALDERSBROOK UP C.H.S.,50430
CHW,CHLKWEL,CHALKWELL,51011
BEF,BENFLET,BENFLEET,51014
BSO,BASILDN,BASILDON,51019
ETL,ETILBRY,EAST TILBURY,51130
CFH,CHADHDD,CHAFFORD HUNDRED,51313
ZDE,DGNHELT,DAGENHAM EAST L.T.,51359
DDK,DGNHMDC,DAGENHAM DOCK,51402
XXH,DAGNMJN,DAGENHAM JUNCTION,51412
BKG,BARKING,BARKING,51531
ZKB,BARKGLT,BARKING L.T.,51532
BHO,BLCHSRD,BLACKHORSE ROAD,51555
CRH,CROUCHH,CROUCH HILL,51563
XEM,EHMEMUD,EAST HAM E.M.U.D.,51602
ZEH,EASTHAM,EAST HAM LT,51604
BXB,BROXBRN,BROXBOURNE,51722
CHN,CHESHNT,CHESHUNT,51815
ENL,ENFLDLK,ENFIELD LOCK,51913
BMD,BRIMSDN,BRIMSDOWN,51914
XMI,COPRMLJ,COPPERMILL JUNCTION,51937
ENF,ENFLDTN,ENFIELD TOWN,51946
BHK,BHILLPK,BUSH HILL PARK,51947
XSG,BYSTJN,BURY STREET JN,51948
EDR,EDMNGRN,EDMONTON GREEN,51949
BCV,BRUCGRV,BRUCE GROVE,51952
DLK,DALSKLD,DALSTON KINGSLAND,52046
CNN,CNNB,CANONBURY,52048
XIC,CNNBELL,CANONBURY ELL,52049
XJC,CNNBYWJ,CANONBURY WEST JN,52054
CIR,CLDNNRB,CALEDONIAN RD & BARNSBURY,52058
DLJ,DALS,DALSTON JUNCTION STN ELL,52074
CWX,CANWHRF,CANARY WHARF,52208
ZBW,BROMBLT,BROMLEY-BY-BOW LT,52252
CUS,CUSTMHS,CUSTOM HOUSE,52253
XOW,BOWJ,BOW JUNCTION,52701
CHI,CHINGFD,CHINGFORD,52731
CPT,CLAPTON,CLAPTON,52735
CBH,CAMHTH,CAMBRIDGE HEATH,52738
BET,BTHNLGR,BETHNAL GREEN,52739
AWM,ASHWELC,ASHWELL & MORDEN,53011
BDK,BALDOCK,BALDOCK,53015
ARL,ARLSEY,ARLESEY,53201
BAY,BAYFORD,BAYFORD,53243
CUF,CUFFLEY,CUFFLEY,53245
CWH,CRHL,CREWS HILL,53246
ENC,ENFC,ENFIELD CHASE,53301
BOP,BOWESPK,BOWES PARK,53309
BPK,BRKMNPK,BROOKMANS PARK,53995
XGD,BNDSGRN,BOUNDS GREEN T&R.S.M.D,54101
AAP,ALEXNDP,ALEXANDRA PALACE,54103
DYP,DRYP,DRAYTON PARK,54291
EXR,ESSEXRD,ESSEX ROAD,54295
BLW,BULWELL,BULWELL,55116
ATB,ATNBRO,ATTENBOROUGH,55202
BEE,BESTON,BEESTON,55212
CTO,CRTN,CARLTON,55497
BUJ,BRTJYC,BURTON JOYCE,55499
BSB,BLEASBY,BLEASBY,55505
BIN,BINGHAM,BINGHAM,55625
ALF,ALFRETN,ALFRETON,56127
XDD,CDON,CASTLE DONINGTON,56625
EMD,EMPKWAY,EAST MIDLANDS PARKWAY,56650
CMF,CROMFD,CROMFORD,57009
AMB,AMBERGT,AMBERGATE,57013
XAJ,AMBERGJ,AMBERGATE JN,57110
BLP,BELPER,BELPER,57111
DFI,DUFIELD,DUFFIELD,57114
DBY,DRBY,DERBY,57403
XEP,DRBYEPS,ETCHES PARK SDGS,57412
BUT,BURTNOT,BURTON-ON-TRENT,57712
XUN,BTNUNMD,BARTON UNDER NEEDWOOD RSMD,57725
BWS,BAROWOS,BARROW UPON SOAR,59009
COR,CORBY,CORBY,60011
BDM,BEDFDM,BEDFORD,62011
BSJ,BESJOHN,BEDFORD ST JOHNS,62035
APG,ASPLEYG,ASPLEY GUISE,62051
BWB,BOWBRKH,BOW BRICKHILL,62055
ELS,ELTR,ELSTREE & BOREHAMWOOD,63212
CRI,CRKLWD,CRICKLEWOOD,63405
ZBB,BRBCNLT,BARBICAN,63635
CTT,CSTR,CHURCH STRETTON,64241
CWS,CARSWS,CAERSWS,64312
DVY,DOVYJN,DOVEY JUNCTION,64401
AVY,ABDVY,ABERDOVEY,64409
BRM,BRMOUTH,BARMOUTH,64414
DYF,DYFRYNA,DYFFRYN ARDUDWY,64417
CCC,CRICCTH,CRICCIETH,64503
ABH,ABRE,ABERERCH,64506
BOW,BOWSTRT,BOW STREET,64603
BRH,BORTH,BORTH,64604
AYW,ABRYSTH,ABERYSTWYTH,64607
XBJ,BSBYJN,BUSHBURY JN,65006
COS,COSFORD,COSFORD,65023
ALB,ALBRGHT,ALBRIGHTON,65033
CSL,CODSALL,CODSALL,65034
BBK,BILBROK,BILBROOK,65035
JEQ,BHAMJEW,JEWELLERY QUARTER,65210
BKT,BLKST,BLAKE STREET,65343
BUL,BTLRSLA,BUTLERS LANE,65345
CAO,CNCK,CANNOCK,65512
BWN,BLOXN,BLOXWICH NORTH,65517
BLX,BLOXWCH,BLOXWICH,65519
CRD,CHSRD,CHESTER ROAD,65605
ERD,ERDNGTN,ERDINGTON,65606
ADD,ADERLYP,ADDERLEY PARK,65614
BHM,BHAMNWS,BIRMINGHAM NEW STREET,65630
DUD,DUDESTN,DUDDESTON,65642
AST,ASTON,ASTON,65651
XBY,BSCTYD,BESCOT DOWN SIDE,65700
BSC,BSCTSTA,BESCOT STADIUM,65707
CSY,COSELEY,COSELEY,65807
DDP,DUDLPT,DUDLEY PORT,65811
CRA,CRADLYH,CRADLEY HEATH,65927
BKD,BLAKEDN,BLAKEDOWN,65938
CEH,COLESHL,COLESHILL PARKWAY,66230
XIR,BRDSLYJ,BORDESLEY JN,66324
